2015.09.02,20:00,1.12341,1.12470,1.12155,1.12246,15333
2015.09.03,00:00,1.12245,1.12256,1.12042,1.12123,9932
2015.09.03,04:00,1.12124,1.12235,1.12118,1.12176,10312
2015.09.03,08:00,1.12178,1.12426,1.12134,1.12394,18357
2015.09.03,12:00,1.12393,1.12406,1.11093,1.11183,23461
2015.09.03,16:00,1.11185,1.11507,1.10864,1.11160,31101
2015.09.03,20:00,1.11160,1.11388,1.11121,1.11214,17545
2015.09.04,00:00,1.11215,1.11336,1.11147,1.11272,9570
2015.09.04,04:00,1.11274,1.11384,1.11194,1.11300,12688
2015.09.04,08:00,1.11301,1.11604,1.11216,1.11396,20987
2015.09.04,12:00,1.11397,1.11883,1.10890,1.11275,21708
2015.09.04,16:00,1.11275,1.11468,1.10934,1.11427,29425
2015.09.04,20:00,1.11427,1.11752,1.11312,1.11476,14079
2015.09.07,00:00,1.11609,1.11732,1.11413,1.11653,11013
2015.09.07,04:00,1.11653,1.11685,1.11405,1.11414,11030
2015.09.07,08:00,1.11412,1.11637,1.11207,1.11613,20345
2015.09.07,12:00,1.11613,1.11767,1.11381,1.11470,20902
2015.09.07,16:00,1.11470,1.11720,1.11461,1.11676,12024
2015.09.07,20:00,1.11676,1.11716,1.11629,1.11680,4785
2015.09.08,00:00,1.11683,1.11729,1.11525,1.11646,9220
2015.09.08,04:00,1.11644,1.12223,1.11598,1.12102,16585
2015.09.08,08:00,1.12101,1.12285,1.11698,1.11822,24571
2015.09.08,12:00,1.11822,1.11864,1.11518,1.11726,19267
2015.09.08,16:00,1.11726,1.11965,1.11684,1.11830,22012
2015.09.08,20:00,1.11830,1.12126,1.11661,1.12008,12019
2015.09.09,00:00,1.12010,1.12155,1.11870,1.11924,9556
2015.09.09,04:00,1.11925,1.12063,1.11608,1.11679,11668
2015.09.09,08:00,1.11679,1.12064,1.11461,1.11930,22082
2015.09.09,12:00,1.11930,1.11973,1.11309,1.11316,20395
2015.09.09,16:00,1.11317,1.11797,1.11314,1.11590,23367
2015.09.09,20:00,1.11589,1.12082,1.11515,1.12053,18283
2015.09.10,00:00,1.12056,1.12438,1.12033,1.12304,12568
2015.09.10,04:00,1.12303,1.12372,1.11939,1.12128,13678
2015.09.10,08:00,1.12126,1.12339,1.11816,1.11961,23331
2015.09.10,12:00,1.11960,1.12175,1.11710,1.12106,21786
2015.09.10,16:00,1.12105,1.12818,1.11977,1.12626,26242
2015.09.10,20:00,1.12625,1.12944,1.12625,1.12776,14053
2015.09.11,00:00,1.12776,1.13008,1.12723,1.12771,12483
2015.09.11,04:00,1.12773,1.12866,1.12748,1.12863,7298
2015.09.11,08:00,1.12863,1.13089,1.12741,1.12899,20534
2015.09.11,12:00,1.12898,1.12925,1.12534,1.12774,19052
2015.09.11,16:00,1.12775,1.13474,1.12733,1.13431,24893
2015.09.11,20:00,1.13440,1.13487,1.13270,1.13314,10756
2015.09.14,00:00,1.13297,1.13583,1.13256,1.13472,7804
2015.09.14,04:00,1.13473,1.13522,1.13396,1.13426,7744
2015.09.14,08:00,1.13426,1.13722,1.13289,1.13367,18028
2015.09.14,12:00,1.13366,1.13374,1.12977,1.13007,16488
2015.09.14,16:00,1.13008,1.13204,1.12828,1.13183,19690
2015.09.14,20:00,1.13180,1.13236,1.13035,1.13149,8270
2015.09.15,00:00,1.13149,1.13187,1.13001,1.13043,9429
2015.09.15,04:00,1.13044,1.13277,1.13044,1.13163,8898
2015.09.15,08:00,1.13164,1.13231,1.12835,1.13024,18630
2015.09.15,12:00,1.13023,1.13278,1.12932,1.13032,17473
2015.09.15,16:00,1.13030,1.13135,1.12581,1.12820,21834
2015.09.15,20:00,1.12821,1.12858,1.12609,1.12672,9865
2015.09.16,00:00,1.12670,1.12796,1.12624,1.12775,7081
2015.09.16,04:00,1.12776,1.12975,1.12774,1.12940,7612
2015.09.16,08:00,1.12938,1.12938,1.12446,1.12524,16997
2015.09.16,12:00,1.12527,1.12717,1.12133,1.12669,18743
2015.09.16,16:00,1.12668,1.13196,1.12664,1.13080,21850
2015.09.16,20:00,1.13082,1.13136,1.12739,1.12884,10575
2015.09.17,00:00,1.12883,1.13017,1.12852,1.12930,7592
2015.09.17,04:00,1.12931,1.13170,1.12921,1.12955,9318
2015.09.17,08:00,1.12956,1.13370,1.12838,1.13290,17494
2015.09.17,12:00,1.13292,1.13345,1.13096,1.13270,13797
2015.09.17,16:00,1.13269,1.13279,1.12936,1.13033,17623
2015.09.17,20:00,1.13036,1.14402,1.13021,1.14327,31409
2015.09.18,00:00,1.14327,1.14329,1.13895,1.14025,12647
